ID,Datum,Autor,Sadržaj
1664058902382796802,2023-05-31 23:58:53+00:00,mazamasuper,@witch_volcano @ParamountMovies @netflix 🤣Even I wouldn‘t do that to Brosnan.
1664058840311005184,2023-05-31 23:58:38+00:00,monldn,@Nancnurs6122 @netflix There’s an option to keep it in the original language?
1664058594080219136,2023-05-31 23:57:40+00:00,fercereda,@Schwarzenegger @netflix Arnold… Amazing. Thanks.
1664058517274218498,2023-05-31 23:57:21+00:00,derfrankie_,"@Schwarzenegger @netflix It was great to see some of your old ""True Lies"" cast member at Fubar. :) - Please bring back more of your cast members. (if it is possible) - And it was very funny to hear some german words inside the OV from you. ""Waschlappen"" 😅😂"
1664058137316589568,2023-05-31 23:55:51+00:00,melissahoyer,"Woohoo! 
New season of brilliant series Black Mirror en route to our screens June 15 on @netflix @NetflixANZ 
https://t.co/TMOy9TG7ic 
#BlackMirror @blackmirror - yup, you have been missed … https://t.co/91GdmR545B"
1664057595236057090,2023-05-31 23:53:42+00:00,Britainisajoke,@netflix are you too cheap to pay for don't breathe ....1.....
1664057399504777221,2023-05-31 23:52:55+00:00,advexad,"@stevewilldoit Still doesn’t top the $30 million dollar @metacard NFT scam You, @KyleForgeard  @johnshahidi &amp; @sammy managed to pull off. They could make a whole @netflix documentary about that one."
1664057381435613186,2023-05-31 23:52:51+00:00,Apryl_B,"@netflix I'm paying you money to use your service, it shouldn't matter that I'm using a VPN. You're already getting paid! I can understand if I'm using vpns to watch for free but I'm PAYING you."
1664057364436099072,2023-05-31 23:52:47+00:00,DapoElCapo,You sucking mad dick @netflix
1664057282777305090,2023-05-31 23:52:27+00:00,KekenoloveKeke,@netflix very angry customer so you telling me your billing me for a glitch in your system saying that my bill is not covered by t-mobile and im paying for Netflix through t-mobile make it male sense or im calling a lawyer and BBB
1664057279266824192,2023-05-31 23:52:26+00:00,SIMONE448710381,@netflix There's some epic queer people in shadow and bone netflix
1664057276510896129,2023-05-31 23:52:26+00:00,AresRenew,@MyEnochian @netflix man I am glad I stopped giving them money that's so messed up
1664057212514234370,2023-05-31 23:52:10+00:00,KrickAndy,@penrph @Schwarzenegger @netflix Because you are young and lived here since you were a kid. You developed your own views  on America. We are old school and our America was in Hollywood movies 80s-90s.Still looking for it here.Didn't find yet.))) https://t.co/FarBM94riT
1664057166028734465,2023-05-31 23:51:59+00:00,DavidDukhovny,@netflix you guys are ridiculous. We already pay $20 a month and now you want extra for no good reason?
1664057128514887680,2023-05-31 23:51:50+00:00,mainactorMisha,@King_Korvus @netflix Learn to torrent. It’s pretty easy and you’ll get high quality episodes. I use then just so I could do HQ edits and find niche things. You can google it and theres lots of good articles on how to.
1664057102233657344,2023-05-31 23:51:44+00:00,SIMONE448710381,"@netflix @NetflixGeeked 
It's officially pride month. And not giving us a six of crows spin off is pretty homophobic if u ask me 😉"
1664057024341061636,2023-05-31 23:51:25+00:00,KrayTrain,@vagobond @snack_man @netflix my favorite show #savetheoa
1664056905717915649,2023-05-31 23:50:57+00:00,REBDUCE,@snack_man @netflix perhaps you've not seen @lovedeathrobots
1664056822255218688,2023-05-31 23:50:37+00:00,AriochDeath,"I need a second season of #fubar, @Schwarzenegger, and all the Cast are Wunderbar !! 
Maybe @DannyDeVito can play Luke's twin brother 😁 
@netflix  best show of the year !! https://t.co/fZalfmi5iV"
1664056788457779200,2023-05-31 23:50:29+00:00,Rileydo73362981,"@Knoxcat55 @netflix Exactly. 
No camera crew following them in NYC like previous trips. 
Nobody to write off hotel/car expenses to."
1664056615471923201,2023-05-31 23:49:48+00:00,MimiChanPlush,@JordanPeele update!!~ @paramountplus @YandR_CBS @BandB_CBS @discoveryplus @Diddy @netflix @lifetimetv @tylerperry #theneighbor #moviepitch @MariahCarey @TamarBraxtonHer @michaelmuhney https://t.co/80o35xz79b
1664056612053716993,2023-05-31 23:49:47+00:00,BrandonRNixon,Pay your writers ⁦@netflix⁩ https://t.co/DO3jQNb0ME
1664056507690885122,2023-05-31 23:49:22+00:00,ChasingIssues,"Anyone watching FUBAR on @Netflix? It’s a little hokey / low budget but it’s just fun!
I’ll watch any additional seasons with glee."
1664056429622472704,2023-05-31 23:49:04+00:00,queerascat,"@Netflix made their #ultimatum show simultaneously more painful yet irresistible to watch by making a #queer addition. Ugh. Just what I needed, another social experiment turned tool to fuel my already profound cynicism and apathy. #ultimatumqueerlove"
